"Rank","Tipología CFG","N° Proy.","% Proy.","N° Com.","% Com.","Intensidad"
1,"MANEJO INTEGRAL DEL AGUA",54,27.27,43,23.63,1.26
2,"VIALIDAD",30,15.15,27,14.84,1.11
3,"VIVIENDA",21,10.61,21,11.54,1
4,"ELECTRICIDAD",19,9.6,18,9.89,1.06
5,"SALUD",14,7.07,14,7.69,1
6,"INFRAESTRUCTURA",12,6.06,11,6.04,1.09
7,"AMBIENTE",10,5.05,10,5.49,1
8,"EDUCACIÓN",9,4.55,9,4.95,1
9,"TRANSPORTE",7,3.54,7,3.85,1
10,"TELECOMUNICACIONES",6,3.03,6,3.3,1
11,"MUROS",5,2.53,5,2.75,1
12,"SOCIO PRODUCTIVO",4,2.02,4,2.2,1
13,"SEGURIDAD",3,1.52,3,1.65,1
14,"CANALIZACION",2,1.01,2,1.1,1
15,"ORGANIZACION COMUNAL",1,0.51,1,0.55,1
16,"PROCESOS INDUSTRIALES",1,0.51,1,0.55,1
