"Tipología CFG","N° Comunas","Porcentaje (%)","% Acumulado","Ranking"
"MANEJO INTEGRAL DEL AGUA",43,23.63,23.63,1
"VIALIDAD",27,14.84,38.47,2
"VIVIENDA",21,11.54,50.01,3
"ELECTRICIDAD",18,9.89,59.9,4
"SALUD",14,7.69,67.59,5
"INFRAESTRUCTURA",11,6.04,73.63,6
"AMBIENTE",10,5.49,79.12,7
"EDUCACIÓN",9,4.95,84.07,8
"TRANSPORTE",7,3.85,87.92,9
"TELECOMUNICACIONES",6,3.3,91.22,10
"MUROS",5,2.75,93.97,11
"SOCIO PRODUCTIVO",4,2.2,96.17,12
"SEGURIDAD",3,1.65,97.82,13
"CANALIZACION",2,1.1,98.92,14
"ORGANIZACION COMUNAL",1,0.55,99.47,15
"PROCESOS INDUSTRIALES",1,0.55,100.02,16
