"Categoría Gobernación","N° Proyectos","Porcentaje (%)","% Acumulado","Ranking"
"AGUA POTABLE",28,14.14,14.14,1
"VIVIENDA",23,11.62,25.76,2
"ELECTRICIDAD",19,9.6,35.36,3
"VIALIDAD",18,9.09,44.45,4
"EQUIPAMIENTO SALUD",14,7.07,51.52,5
"AGUA RESIDUAL",13,6.57,58.09,6
"DRENAJES",13,6.57,64.66,7
"EQUIPAMIENTO EDUCATIVO",12,6.06,70.72,8
"CANALIZACION",10,5.05,75.77,9
"TRANSPORTE",8,4.04,79.81,10
"VIALIDAD AGRICOLA",8,4.04,83.85,11
"TELECOMUNICACIONES",6,3.03,86.88,12
"INFRAESTRUCTURA",5,2.53,89.41,13
"MUROS",5,2.53,91.94,14
"SOCIO PRODUCTIVO",4,2.02,93.96,15
"EQUIPAMIENTO SEGURIDAD",3,1.52,95.48,16
"PUENTE",3,1.52,97,17
"SISTEMAS DE RIEGO",3,1.52,98.52,18
"AGUA",1,0.51,99.03,19
"GAS",1,0.51,99.54,20
"ORGANIZACION COMUNAL",1,0.51,100.05,21
